Data_set,Layer_size,Activation,CV,Stopping,Solver,Accuracy,F-score
wine.data,"(18,)",logistic,6,True,sgd,0.3091269841269841,0.1567262751473278
wine.data,"(18,)",logistic,8,True,sgd,0.33252164502164505,0.19818506670061395
wine.data,"(18,)",logistic,2,False,adam,0.7824494949494949,0.7166300950646367
wine.data,"(18,)",logistic,4,False,adam,0.7392764857881137,0.653985139285473
wine.data,"(18,)",logistic,6,False,adam,0.8182539682539683,0.7900619121542753
wine.data,"(18,)",logistic,8,False,adam,0.8237224731789949,0.792904397016239
wine.data,"(18,)",logistic,2,False,sgd,0.39886363636363636,0.19008904374758034
wine.data,"(18,)",logistic,4,False,sgd,0.39883720930232563,0.1900793650793651
wine.data,"(18,)",logistic,6,False,sgd,0.3988095238095238,0.19006919006919007
wine.data,"(18,)",logistic,8,False,sgd,0.3989036325992848,0.19007519929551356
wine.data,"(21,)",logistic,2,True,adam,0.33219696969696966,0.16502638710597634
wine.data,"(21,)",logistic,4,True,adam,0.36472868217054266,0.1778404344193818
wine.data,"(21,)",logistic,6,True,adam,0.321031746031746,0.1610382794593321
wine.data,"(21,)",logistic,8,True,adam,0.3153585544889893,0.15885963828121782
wine.data,"(21,)",logistic,2,True,sgd,0.3433080808080808,0.18957758384923298
wine.data,"(21,)",logistic,4,True,sgd,0.2702842377260982,0.13384457520613127
wine.data,"(21,)",logistic,6,True,sgd,0.32023809523809527,0.16069452911558177
wine.data,"(21,)",logistic,8,True,sgd,0.33170995670995673,0.1868911775916291
wine.data,"(21,)",logistic,2,False,adam,0.9431818181818181,0.9458985301090563
wine.data,"(21,)",logistic,4,False,adam,0.8016795865633075,0.7512833467487033
wine.data,"(21,)",logistic,6,False,adam,0.832936507936508,0.7956676337621348
wine.data,"(21,)",logistic,8,False,adam,0.8076181065311501,0.7823377656018321
wine.data,"(21,)",logistic,2,False,sgd,0.39886363636363636,0.19008904374758034
wine.data,"(21,)",logistic,4,False,sgd,0.39883720930232563,0.1900793650793651
wine.data,"(21,)",logistic,6,False,sgd,0.3988095238095238,0.19006919006919007
wine.data,"(21,)",logistic,8,False,sgd,0.3989036325992848,0.19007519929551356
wine.data,"(24,)",logistic,2,True,adam,0.303030303030303,0.15476190476190477
wine.data,"(24,)",logistic,4,True,adam,0.33139534883720934,0.1653091060985798
wine.data,"(24,)",logistic,6,True,adam,0.32023809523809527,0.16069452911558177
wine.data,"(24,)",logistic,8,True,adam,0.3759057971014493,0.20485664766755599
wine.data,"(24,)",logistic,2,True,sgd,0.33636363636363636,0.16666666666666669
